グループ名	作品名
26時のマスカレイド	シルクハットパレード
26時のマスカレイド	スノウメモリー
26時のマスカレイド	ダンデライオンに恋を
26時のマスカレイド	チャプチャパ
26時のマスカレイド	ちゅるサマ！
26時のマスカレイド	ハートサングラス
26時のマスカレイド	ハナイチモンメ
26時のマスカレイド	メロサマ
26時のマスカレイド	君は青のままで
AMEFURASSHI	DROP DROP
AMEFURASSHI	MICHI
Pimm's	BOY MEETS GIRL
Pimm's	SUNDAY MORNING
こぶしファクトリー	きっと私は
こぶしファクトリー	これからだ！
こぶしファクトリー	サンバ！こぶしジャネイロ
こぶしファクトリー	ドスコイ！ケンキョにダイタン
こぶしファクトリー	バッチ来い青春！
こぶしファクトリー	押忍！こぶし魂
こぶしファクトリー	青春の花
コレって恋ですか？	シンキロウ
でんぱ組.inc	アイノカタチ
でんぱ組.inc	アキハバライフ♪
でんぱ組.inc	サクラあっぱれーしょん
でんぱ組.inc	ファンシーほっぺ♡ウ・フ・フ
でんぱ組.inc	我ら令和のかえるちゃん！
でんぱ組.inc	形而上学的、魔法
でんぱ組.inc	好感Daybook♡
ひめキュンフルーツ缶	ハルカナタ
ラストアイドル	Break a leg!
ラストアイドル	愛を知る
ラストアイドル	何人も
ラストアイドル	君は何キャラット？
ラストアイドル	大人サバイバー
真っ白なキャンバス	Bye My Summer
真っ白なキャンバス	光になって
真っ白なキャンバス	闘う門には幸来たる
神宿	Caramel Sweet
神宿	CONVERSATION FANCY
神宿	HAPPY PARTY NIGHT
神宿	星空帰り道
東京女子流	Get The Star
東京女子流	Hello, Goodbye
東京女子流	Limited addiction
東京女子流	predawn
東京女子流	Say long goodbye
東京女子流	We Will Win
東京女子流	サヨナラ、ありがとう。
東京女子流	ちいさな奇跡
東京女子流	追憶 -Single Version-
欅坂46	W-KEYAKIZAKAの詩
欅坂46	アンビバレント
欅坂46	ガラスを割れ！
欅坂46	サイレントマジョリティー
欅坂46	ゼンマイ仕掛けの夢
欅坂46	世界には愛しかない
欅坂46	二人セゾン
欅坂46	不協和音
